epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,8231.16,1.15643,0.98673,0.01278,0.61225,0.60093,0.5384,0.29837,1.62979,1.85756,0.02179,0.000478762,0.000478762,0.000478762
74,8359.31,1.15078,0.8801,0.01204,0.58472,0.57505,0.52498,0.28828,1.64953,1.82519,0.02277,0.000462259,0.000462259,0.000462259
75,8491.78,1.16664,0.97411,0.01124,0.55945,0.59343,0.5488,0.31164,1.64741,1.77208,0.02259,0.000445756,0.000445756,0.000445756
76,8619.06,1.20724,1.02221,0.01226,0.68044,0.5459,0.54864,0.31237,1.62524,1.81309,0.02237,0.000429253,0.000429253,0.000429253
77,8746.2,1.10801,0.89856,0.01123,0.75726,0.52271,0.57203,0.31561,1.64745,1.82036,0.02256,0.000412749,0.000412749,0.000412749
78,8879.87,1.16207,0.86294,0.01103,0.72242,0.51618,0.56353,0.33056,1.64488,1.83771,0.0222,0.000396246,0.000396246,0.000396246
79,8998.37,1.10937,0.89699,0.01147,0.60951,0.58256,0.55589,0.32297,1.57874,1.86747,0.02094,0.000379743,0.000379743,0.000379743
80,9128.61,1.14176,0.9363,0.01081,0.86521,0.41667,0.54827,0.31401,1.59512,1.83898,0.02144,0.000363239,0.000363239,0.000363239
81,9268.43,1.12783,0.902,0.01169,0.62255,0.522,0.52894,0.29282,1.5954,1.78975,0.02164,0.000346736,0.000346736,0.000346736
82,9416.52,1.10934,0.87604,0.01156,0.70052,0.57871,0.56765,0.32174,1.65535,1.69792,0.02304,0.000330233,0.000330233,0.000330233
83,9546.58,1.06245,0.84976,0.01086,0.74721,0.52531,0.59396,0.32521,1.66382,1.69568,0.02253,0.000313729,0.000313729,0.000313729
84,9665.04,1.12775,0.91349,0.01067,0.69548,0.48602,0.53297,0.29946,1.64723,1.72759,0.02231,0.000297226,0.000297226,0.000297226
85,9781.6,1.08681,0.89465,0.01088,0.61731,0.48395,0.50046,0.27431,1.66201,1.75956,0.0223,0.000280723,0.000280723,0.000280723
86,9899.91,1.05342,0.82105,0.01137,0.72849,0.47308,0.51945,0.28178,1.6789,1.73289,0.02235,0.00026422,0.00026422,0.00026422
87,10030,1.1178,0.8602,0.01096,0.68825,0.47498,0.53691,0.29172,1.66076,1.77407,0.02206,0.000247716,0.000247716,0.000247716
88,10133.7,1.16741,0.88951,0.01199,0.66103,0.52088,0.54549,0.30808,1.64236,1.7522,0.02163,0.000231213,0.000231213,0.000231213
89,10241,1.06847,0.87695,0.01053,0.75934,0.46428,0.54613,0.31263,1.63009,1.73059,0.02153,0.00021471,0.00021471,0.00021471
90,10330,1.08055,0.8302,0.01145,0.75908,0.51558,0.54933,0.31714,1.6437,1.70012,0.02187,0.000198206,0.000198206,0.000198206
