epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,14972.7,1.24292,1.55202,0.01351,0.71759,0.76421,0.77886,0.54749,1.16812,1.07825,0.02607,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,15304.9,1.25467,1.54218,0.01411,0.71684,0.77625,0.77957,0.5364,1.21316,1.13416,0.02677,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,15633.4,1.22748,1.49383,0.01361,0.78942,0.74418,0.79363,0.53703,1.20937,1.06574,0.0254,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,15964.3,1.23233,1.52059,0.01347,0.81837,0.70945,0.80229,0.57188,1.13205,0.9853,0.02503,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,16298.5,1.23636,1.50334,0.01365,0.78869,0.75809,0.8016,0.56642,1.14575,1.00197,0.02492,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,16630.4,1.22046,1.518,0.01359,0.80752,0.75685,0.82612,0.58134,1.15716,0.92744,0.02427,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,16961.2,1.22622,1.50889,0.01358,0.79913,0.74333,0.80988,0.57965,1.13248,0.96208,0.02469,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,17295.5,1.20495,1.46102,0.0134,0.78079,0.77262,0.83172,0.58548,1.13587,0.91878,0.0256,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,17627.4,1.19997,1.4393,0.01329,0.80086,0.75556,0.82305,0.57511,1.15762,0.97496,0.02611,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,17962.6,1.17732,1.43236,0.01328,0.801,0.76223,0.83846,0.60381,1.11661,0.91876,0.02471,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
