epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,18583.5,1.15134,1.39576,0.01255,0.82635,0.68788,0.80764,0.57604,1.11007,0.9578,0.02312,0.00122141,0.00122141,0.00122141
56,18915.8,1.15418,1.4255,0.01295,0.82739,0.72575,0.82227,0.5721,1.15212,0.97603,0.02508,0.00121316,0.00121316,0.00121316
57,19243.6,1.15676,1.43674,0.0129,0.76087,0.73866,0.8021,0.58802,1.11339,0.93253,0.02462,0.00120491,0.00120491,0.00120491
58,19575.8,1.13714,1.38442,0.01263,0.78342,0.74552,0.80865,0.58256,1.13487,0.97273,0.02614,0.00119666,0.00119666,0.00119666
59,19909.2,1.14117,1.37661,0.01251,0.8284,0.7199,0.82054,0.57574,1.14198,0.95559,0.02523,0.0011884,0.0011884,0.0011884
60,20245,1.14243,1.40294,0.01275,0.77712,0.78373,0.84054,0.61305,1.10728,0.85827,0.02368,0.00118015,0.00118015,0.00118015
61,20579.3,1.12281,1.39535,0.01243,0.77627,0.74112,0.81333,0.60018,1.06536,0.92277,0.02291,0.0011719,0.0011719,0.0011719
62,20913.9,1.12461,1.35509,0.01231,0.85187,0.74953,0.83605,0.61745,1.04097,0.89136,0.02236,0.00116365,0.00116365,0.00116365
63,21249.4,1.11303,1.35452,0.01214,0.7958,0.78841,0.83391,0.60042,1.1072,0.86426,0.02392,0.0011554,0.0011554,0.0011554
64,21585,1.10545,1.32397,0.01199,0.75098,0.7575,0.82135,0.60563,1.07392,0.90037,0.02271,0.00114715,0.00114715,0.00114715
65,21921,1.12986,1.34473,0.01249,0.82398,0.72202,0.82393,0.61244,1.04809,0.91429,0.02265,0.00113889,0.00113889,0.00113889
66,22250.6,1.13498,1.34602,0.01228,0.77732,0.80189,0.84434,0.60388,1.12639,0.87885,0.02418,0.00113064,0.00113064,0.00113064
67,22583.5,1.12152,1.32769,0.01216,0.83525,0.79791,0.86907,0.63998,1.03808,0.7533,0.0222,0.00112239,0.00112239,0.00112239
68,22916.6,1.0915,1.29202,0.01206,0.83294,0.78892,0.84313,0.62784,1.05496,0.82265,0.02352,0.00111414,0.00111414,0.00111414
69,23253.9,1.11359,1.28142,0.0122,0.79894,0.77398,0.82778,0.61071,1.03368,0.91025,0.02222,0.00110589,0.00110589,0.00110589
70,23589.5,1.09554,1.29061,0.01193,0.82759,0.7386,0.83012,0.60756,1.04581,0.90119,0.02336,0.00109764,0.00109764,0.00109764
71,23923.7,1.0982,1.28365,0.01216,0.80591,0.79979,0.85094,0.62889,1.02132,0.76541,0.02219,0.00108938,0.00108938,0.00108938
72,24254.2,1.09187,1.28085,0.01176,0.81358,0.74499,0.8306,0.60966,1.01545,0.87727,0.02102,0.00108113,0.00108113,0.00108113
73,24587.6,1.10219,1.2786,0.01197,0.80826,0.75824,0.83253,0.61336,1.0526,0.82879,0.0225,0.00107288,0.00107288,0.00107288
74,24924.7,1.10517,1.30438,0.01204,0.80359,0.76888,0.82469,0.59351,1.10206,0.89909,0.02413,0.00106463,0.00106463,0.00106463
75,25260.5,1.08271,1.28527,0.01201,0.80905,0.79451,0.83523,0.60586,1.08191,0.85016,0.02386,0.00105638,0.00105638,0.00105638
76,25595.3,1.07531,1.24595,0.01166,0.83899,0.7358,0.82596,0.6038,1.04782,0.85056,0.02263,0.00104813,0.00104813,0.00104813
77,25926.8,1.08526,1.26781,0.01154,0.8351,0.75157,0.83022,0.60731,1.0494,0.83972,0.0219,0.00103987,0.00103987,0.00103987
78,26256,1.06539,1.21818,0.0115,0.791,0.80302,0.83093,0.62062,1.01998,0.80625,0.02109,0.00103162,0.00103162,0.00103162
79,26587.7,1.07145,1.22273,0.01163,0.78266,0.80953,0.85168,0.62835,1.03733,0.80368,0.02224,0.00102337,0.00102337,0.00102337
