epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,18387.4,1.27557,1.1016,0.02276,0.73119,0.57378,0.61742,0.38623,1.6288,1.72194,0.04512,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,18705.8,1.2798,1.11562,0.02379,0.66186,0.70342,0.72199,0.41191,1.68161,1.43515,0.04559,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,19024.5,1.26707,1.1229,0.02295,0.67056,0.38281,0.47856,0.27532,1.68021,2.57117,0.04502,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,19341.5,1.24447,1.07693,0.02272,0.59189,0.46094,0.52398,0.29642,1.65201,2.21785,0.04511,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,19658.6,1.22928,1.0586,0.02336,0.65156,0.55469,0.60206,0.32091,1.73443,1.99427,0.04736,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,19975.6,1.25376,1.10535,0.02218,0.7273,0.59375,0.65935,0.41758,1.56039,1.56369,0.0439,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,20308.1,1.24382,1.0731,0.02234,0.64288,0.50781,0.58864,0.34817,1.61114,2.05115,0.04428,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,20633.1,1.24221,1.05114,0.02258,0.63224,0.48352,0.54234,0.29726,1.72784,2.08874,0.04818,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,20951.1,1.20306,1.04729,0.02194,0.66697,0.60156,0.67524,0.40746,1.4244,1.64003,0.03727,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,21268.4,1.22059,1.07232,0.0222,0.78026,0.50781,0.61829,0.38568,1.64914,1.93296,0.045,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,21586.7,1.20134,1.05192,0.02199,0.57182,0.35476,0.40571,0.2218,1.87532,2.7867,0.05222,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,21908.9,1.19938,1.05509,0.02176,0.74478,0.38281,0.52771,0.32183,1.52258,2.09824,0.0391,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,22227.4,1.18262,1.01151,0.02162,0.66753,0.53906,0.5594,0.3174,1.6505,2.03535,0.04363,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
